x: 172, y: 5, w: 17, h: 44
x: 196, y: 8, w: 15, h: 36
x: 218, y: 8, w: 16, h: 38
x: 599, y: 19, w: 19, h: 42
x: 619, y: 14, w: 19, h: 41
x: 727, y: 14, w: 14, h: 41
x: 744, y: 8, w: 22, h: 54
x: 774, y: 20, w: 17, h: 42
x: 769, y: 8, w: 23, h: 54
x: 60, y: 103, w: 23, h: 55
x: 660, y: 119, w: 18, h: 48
x: 1, y: 135, w: 17, h: 48
x: 1, y: 133, w: 20, h: 53
x: 63, y: 170, w: 20, h: 42
x: 62, y: 169, w: 23, h: 44
x: 87, y: 160, w: 15, h: 44
x: 216, y: 167, w: 18, h: 42
x: 256, y: 170, w: 19, h: 41
x: 279, y: 171, w: 19, h: 41
x: 316, y: 169, w: 23, h: 44
x: 346, y: 164, w: 17, h: 49
x: 2, y: 190, w: 17, h: 44
x: 65, y: 179, w: 20, h: 36
x: 1, y: 350, w: 19, h: 41
x: 1, y: 385, w: 16, h: 40
x: 1, y: 400, w: 18, h: 39
x: 1, y: 436, w: 16, h: 43
x: 40, y: 579, w: 22, h: 51
x: 61, y: 580, w: 25, h: 54
