x: 29, y: 122, w: 45, h: 26
x: 376, y: 111, w: 20, h: 48
x: 421, y: 106, w: 23, h: 52
x: 472, y: 117, w: 18, h: 38
x: 471, y: 112, w: 22, h: 45
x: 23, y: 220, w: 50, h: 28
x: 186, y: 215, w: 22, h: 48
x: 349, y: 207, w: 23, h: 54
x: 515, y: 205, w: 24, h: 61
x: 27, y: 243, w: 48, h: 27
x: 163, y: 219, w: 22, h: 43
x: 187, y: 217, w: 22, h: 48
x: 234, y: 221, w: 18, h: 46
x: 233, y: 221, w: 20, h: 46
x: 256, y: 223, w: 19, h: 44
x: 255, y: 220, w: 22, h: 45
x: 28, y: 262, w: 48, h: 28
x: 27, y: 268, w: 48, h: 23
x: 161, y: 268, w: 21, h: 46
x: 186, y: 267, w: 21, h: 46
x: 209, y: 267, w: 20, h: 45
x: 589, y: 269, w: 22, h: 48
x: 279, y: 278, w: 22, h: 45
x: 23, y: 314, w: 48, h: 22
x: 605, y: 425, w: 24, h: 58
x: 649, y: 416, w: 23, h: 65
x: 676, y: 418, w: 24, h: 63
